Key,PressTime,ReleaseTime,Delay,HoldTime,Character,Label
T,1752485106.9831753,1752485107.0557451,0,0.0725697968950353,T,admin
H,1752485107.213373,1752485107.287828,0.23019766807556152,0.07445503895006429,h,admin
E,1752485107.4467595,1752485107.5595222,0.23338651657104492,0.11276275823337158,e,admin
 ,1752485107.745417,1752485107.8557801,0.2986576557159424,0.11036309064264369, ,admin
Q,1752485107.9623334,1752485108.0139241,0.21691632270812988,0.05159074590469061,q,admin
U,1752485108.0508146,1752485108.1923833,0.08848118782043457,0.1415685700297381,u,admin
I,1752485108.3006449,1752485108.3739312,0.2498302459716797,0.07328634908458234,i,admin
C,1752485108.416189,1752485108.489438,0.11554408073425293,0.07324903176229243,c,admin
K,1752485108.4678957,1752485108.539729,0.051706790924072266,0.07183334672750194,k,admin
 ,1752485108.670165,1752485108.7725623,0.2022693157196045,0.10239720640876974, ,admin
B,1752485108.8772037,1752485109.0083191,0.20703864097595215,0.1311154837974048,b,admin
R,1752485109.1728578,1752485109.2883012,0.2956540584564209,0.11544347682203006,r,admin
O,1752485109.3748543,1752485109.4850461,0.2019965648651123,0.11019190857997349,o,admin
W,1752485109.5457098,1752485109.6112409,0.17085552215576172,0.06553107932532713,w,admin
N,1752485109.748376,1752485109.7996082,0.2026660442352295,0.05123225758789939,n,admin
 ,1752485109.9325416,1752485110.0597527,0.18416571617126465,0.1272110313905917, ,admin
F,1752485110.1650753,1752485110.2681105,0.23253369331359863,0.10303521386528697,f,admin
O,1752485110.4244127,1752485110.5278182,0.2593374252319336,0.1034055056502472,o,admin
X,1752485110.5442548,1752485110.6663284,0.1198420524597168,0.12207354367853253,x,admin
 ,1752485110.6912735,1752485110.77251,0.1470186710357666,0.08123665474567017, ,admin
J,1752485110.753825,1752485110.850214,0.06255149841308594,0.0963890899665249,j,admin
U,1752485110.8429487,1752485110.928339,0.08912372589111328,0.08539030826872183,u,admin
M,1752485111.0456383,1752485111.1298091,0.20268964767456055,0.08417075857282848,m,admin
P,1752485111.2974434,1752485111.367472,0.25180506706237793,0.07002848166127287,p,admin
S,1752485111.4391725,1752485111.4977841,0.14172911643981934,0.05861173758933889,s,admin
 ,1752485111.6051145,1752485111.7250264,0.16594195365905762,0.11991184145592404, ,admin
O,1752485111.865478,1752485111.9735022,0.2603635787963867,0.10802418263636399,o,admin
V,1752485112.0897372,1752485112.144003,0.2242591381072998,0.054265843784817816,v,admin
E,1752485112.3662503,1752485112.489583,0.27651309967041016,0.12333262465179404,e,admin
R,1752485112.5058157,1752485112.6522465,0.13956546783447266,0.14643084765948933,r,admin
 ,1752485112.798769,1752485112.9387236,0.2929532527923584,0.13995462407550063, ,admin
T,1752485113.0166597,1752485113.1481538,0.21789073944091797,0.1314940733193138,t,admin
H,1752485113.104685,1752485113.1714704,0.08802533149719238,0.06678539913718792,h,admin
E,1752485113.2529523,1752485113.3302705,0.14826726913452148,0.07731819812296167,e,admin
 ,1752485113.4447265,1752485113.5614955,0.1917741298675537,0.1167689774006316, ,admin
L,1752485113.6476667,1752485113.7010405,0.2029402256011963,0.053373798943791045,l,admin
A,1752485113.7874713,1752485113.9082127,0.13980460166931152,0.12074141059989416,a,admin
Z,1752485114.0270445,1752485114.103898,0.23957324028015137,0.0768535688564311,z,admin
Y,1752485114.3234692,1752485114.424493,0.29642462730407715,0.10102391570372721,y,admin
 ,1752485114.6175601,1752485114.704681,0.29409098625183105,0.08712079853680071, ,admin
D,1752485114.689528,1752485114.7473445,0.07196784019470215,0.057816520727617005,d,admin
O,1752485114.962678,1752485115.0620296,0.2731499671936035,0.09935154864579229,o,admin
G,1752485115.1047838,1752485115.1958447,0.1421058177947998,0.09106095013308446,g,admin
SESSION_END,,,,,,admin
T,1752485109.2652345,1752485109.377668,0,0.11243347047413915,T,admin
H,1752485109.4005022,1752485109.5210345,0.1352677345275879,0.12053236996605426,h,admin
E,1752485109.6667104,1752485109.7995746,0.2662081718444824,0.1328641792557032,e,admin
 ,1752485109.9527407,1752485110.0840013,0.28603029251098633,0.13126055305746487, ,admin
Q,1752485110.2307763,1752485110.326598,0.27803564071655273,0.09582161455956506,q,admin
U,1752485110.4278872,1752485110.5415144,0.19711089134216309,0.11362724340460678,u,admin
I,1752485110.541611,1752485110.6286793,0.1137237548828125,0.08706840026119009,i,admin
C,1752485110.7826493,1752485110.903126,0.24103832244873047,0.12047665099070072,c,admin
K,1752485111.0436597,1752485111.098846,0.26101040840148926,0.05518627810100545,k,admin
 ,1752485111.309895,1752485111.427988,0.2662353515625,0.11809289732468752, ,admin
B,1752485111.522508,1752485111.5993474,0.21261286735534668,0.07683951442039412,b,admin
R,1752485111.7332385,1752485111.8155155,0.21073055267333984,0.08227709233636797,r,admin
O,1752485111.8622546,1752485111.98302,0.12901616096496582,0.12076544719588964,o,admin
W,1752485112.014303,1752485112.1529732,0.15204834938049316,0.1386701543273313,w,admin
N,1752485112.097505,1752485112.2177658,0.08320212364196777,0.12026065854941902,n,admin
 ,1752485112.2570422,1752485112.3831875,0.15953707695007324,0.12614530718702055, ,admin
F,1752485112.4672086,1752485112.594272,0.21016645431518555,0.12706337353714753,f,admin
O,1752485112.6384535,1752485112.7767684,0.17124485969543457,0.13831492133477624,o,admin
X,1752485112.8882816,1752485112.9693933,0.24982810020446777,0.08111172376942974,x,admin
 ,1752485113.1845715,1752485113.3009484,0.29628992080688477,0.11637697486656647, ,admin
J,1752485113.3255005,1752485113.442811,0.1409289836883545,0.11731047028938087,j,admin
U,1752485113.484461,1752485113.578675,0.15896058082580566,0.09421399853082871,u,admin
M,1752485113.593581,1752485113.6714203,0.10911989212036133,0.07783934481906854,m,admin
P,1752485113.7934034,1752485113.9020467,0.19982242584228516,0.1086434016151112,p,admin
S,1752485114.0396657,1752485114.1100657,0.2462623119354248,0.07040006476965385,s,admin
 ,1752485114.2899086,1752485114.3718994,0.2502429485321045,0.08199079422056045, ,admin
O,1752485114.5423288,1752485114.6155376,0.25242018699645996,0.07320885589955034,o,admin
V,1752485114.817983,1752485114.9620357,0.2756540775299072,0.14405275353333383,v,admin
E,1752485114.9819295,1752485115.079305,0.16394662857055664,0.09737537719674899,e,admin
R,1752485115.1471934,1752485115.2208228,0.16526389122009277,0.07362932797248013,r,admin
 ,1752485115.2583566,1752485115.3115003,0.11116313934326172,0.05314376576167973, ,admin
T,1752485115.4106092,1752485115.5381253,0.1522526741027832,0.12751614950662662,t,admin
H,1752485115.6121905,1752485115.6972516,0.20158123970031738,0.08506109423254198,h,admin
E,1752485115.7683146,1752485115.900357,0.15612411499023438,0.1320423675240593,e,admin
 ,1752485115.90253,1752485116.0218446,0.1342153549194336,0.1193146165093338, ,admin
L,1752485115.9964519,1752485116.1151068,0.09392189979553223,0.11865506378062111,l,admin
A,1752485116.2403378,1752485116.3368077,0.24388599395751953,0.09646990477668094,a,admin
Z,1752485116.3270068,1752485116.4723248,0.0866689682006836,0.14531810087450003,z,admin
Y,1752485116.3875954,1752485116.5295992,0.06058859825134277,0.14200374323529974,y,admin
 ,1752485116.524243,1752485116.6121035,0.13664770126342773,0.0878603835958694, ,admin
D,1752485116.8201168,1752485116.9418712,0.29587364196777344,0.12175451658007125,d,admin
O,1752485116.9703488,1752485117.0281186,0.15023207664489746,0.05776988746848876,o,admin
G,1752485117.172137,1752485117.2253015,0.20178818702697754,0.0531645638429247,g,admin
SESSION_END,,,,,,admin
T,1752485111.5213048,1752485111.6154902,0,0.09418528335568986,T,admin
H,1752485111.5906422,1752485111.6906273,0.06933736801147461,0.09998510925876805,h,admin
E,1752485111.8338597,1752485111.9633257,0.24321746826171875,0.12946598905991247,e,admin
 ,1752485112.0725503,1752485112.190157,0.23869061470031738,0.11760661286313935, ,admin
Q,1752485112.3697834,1752485112.439025,0.29723310470581055,0.06924152127681227,q,admin
U,1752485112.6063373,1752485112.6934626,0.23655390739440918,0.0871252429526702,u,admin
I,1752485112.7559881,1752485112.8571844,0.14965081214904785,0.10119623169074836,i,admin
C,1752485112.8594034,1752485112.944872,0.10341525077819824,0.08546862635661949,c,admin
K,1752485112.9123309,1752485113.0415459,0.052927494049072266,0.12921499100868825,k,admin
 ,1752485113.1095572,1752485113.2344456,0.19722628593444824,0.12488841159802055, ,admin
B,1752485113.3861923,1752485113.480951,0.27663516998291016,0.09475872667662791,b,admin
R,1752485113.6660018,1752485113.7780569,0.27980947494506836,0.11205495584581618,r,admin
O,1752485113.8595724,1752485113.9860213,0.19357061386108398,0.12644886714330694,o,admin
W,1752485113.982946,1752485114.0697753,0.12337350845336914,0.08682934345947166,w,admin
N,1752485114.2624052,1752485114.3229005,0.27945923805236816,0.06049545171597592,n,admin
 ,1752485114.4897456,1752485114.6151674,0.2273404598236084,0.12542168668517834, ,admin
F,1752485114.7013695,1752485114.8137367,0.2116239070892334,0.11236726005447281,f,admin
O,1752485114.768446,1752485114.8237293,0.06707644462585449,0.05528329901468736,o,admin
X,1752485114.9703636,1752485115.102567,0.2019176483154297,0.13220329712822868,x,admin
 ,1752485115.1670852,1752485115.2953644,0.19672155380249023,0.12827919046805908, ,admin
J,1752485115.3749938,1752485115.4521263,0.20790863037109375,0.07713256716487552,j,admin
U,1752485115.479811,1752485115.5496264,0.10481715202331543,0.06981537109126668,u,admin
M,1752485115.6285856,1752485115.715393,0.1487746238708496,0.08680758910419076,m,admin
P,1752485115.684322,1752485115.831792,0.055736541748046875,0.1474699798167759,p,admin
S,1752485115.801952,1752485115.867821,0.1176297664642334,0.06586904924698218,s,admin
 ,1752485115.919769,1752485116.0289369,0.11781716346740723,0.10916788361676147, ,admin
O,1752485116.0471818,1752485116.1800153,0.1274127960205078,0.13283339389057497,o,admin
V,1752485116.161194,1752485116.2605884,0.11401224136352539,0.09939423454411617,v,admin
E,1752485116.4408174,1752485116.5053828,0.27962327003479004,0.06456540344050453,e,admin
R,1752485116.6544378,1752485116.7166462,0.21362042427062988,0.0622084908669287,r,admin
 ,1752485116.8287368,1752485116.889283,0.17429900169372559,0.06054615039135045, ,admin
T,1752485117.1112216,1752485117.2169638,0.282484769821167,0.10574224998262396,t,admin
H,1752485117.4031408,1752485117.5485399,0.2919192314147949,0.14539912176127523,h,admin
E,1752485117.4822989,1752485117.5598912,0.07915806770324707,0.07759238789187854,e,admin
 ,1752485117.7045774,1752485117.8290536,0.22227859497070312,0.12447629692733149, ,admin
L,1752485117.8552256,1752485117.9686987,0.1506481170654297,0.1134731945977996,l,admin
A,1752485117.9890106,1752485118.128814,0.13378500938415527,0.1398033712737335,a,admin
Z,1752485118.2019763,1752485118.3327153,0.212965726852417,0.1307389610022721,z,admin
Y,1752485118.3830473,1752485118.472986,0.18107104301452637,0.08993853611342593,y,admin
 ,1752485118.5044615,1752485118.6367896,0.1214141845703125,0.13232806449739776, ,admin
D,1752485118.7434642,1752485118.868794,0.23900270462036133,0.12532967833968117,d,admin
O,1752485118.801994,1752485118.9232266,0.05852985382080078,0.12123242222395259,o,admin
G,1752485118.9319909,1752485119.0525427,0.12999677658081055,0.12055187559955112,g,admin
SESSION_END,,,,,,admin
